Event.ID,UTC.Offset,Start.DateTime.UTC,End.DateTime.UTC,Start.DateTime.Local,End.DateTime.Local,Start.Date.Local,Start.Time.Local,Event.Duration,eventType,comment,SRKW,Transient,Uncertain 
289,7:00,2020-07-12 1:18,2020-07-12 1:50,2020-07-11 18:18,2020-07-11 18:50,2020-07-11,18:18:19,0:32:17, Killer Whale,SRKW,1,0,0
323,7:00,2020-07-12 20:17,2020-07-12 21:26,2020-07-12 13:17,2020-07-12 14:26,2020-07-12,13:17:30,1:09:09, Killer Whale,SRKW,1,0,0
324,7:00,2020-07-12 22:54,2020-07-12 22:54,2020-07-12 15:54,2020-07-12 15:54,2020-07-12,15:54:50,0:00:00, Killer Whale,SRKW,1,0,0
341,7:00,2020-07-13 5:23,2020-07-13 5:35,2020-07-12 22:23,2020-07-12 22:35,2020-07-12,22:23:05,0:11:56, Killer Whale,SRKW,1,0,0
382,7:00,2020-07-14 23:12,2020-07-14 23:59,2020-07-14 16:12,2020-07-14 16:59,2020-07-14,16:12:20,0:47:37, Killer Whale,SRKW,1,0,0
384,7:00,2020-07-15 0:00,2020-07-15 0:42,2020-07-14 17:00,2020-07-14 17:42,2020-07-14,17:00:00,0:42:23, Killer Whale,SRKW,1,0,0
417,7:00,2020-07-16 3:55,2020-07-16 5:07,2020-07-15 20:55,2020-07-15 22:07,2020-07-15,20:55:36,1:11:42, Killer Whale,SRKW,1,0,0
441,7:00,2020-07-17 1:38,2020-07-17 1:45,2020-07-16 18:38,2020-07-16 18:45,2020-07-16,18:38:01,0:07:01, Killer Whale,SRKW,1,0,0
443,7:00,2020-07-17 11:17,2020-07-17 11:45,2020-07-17 4:17,2020-07-17 4:45,2020-07-17,4:17:27,0:28:19, Killer Whale,SRKW,1,0,0
454,7:00,2020-07-17 17:00,2020-07-17 22:56,2020-07-17 10:00,2020-07-17 15:56,2020-07-17,10:00:08,5:56:47, Killer Whale,SRKW,1,0,0
457,7:00,2020-07-18 0:00,2020-07-18 1:30,2020-07-17 17:00,2020-07-17 18:30,2020-07-17,17:00:00,1:30:05, Killer Whale,SRKW,1,0,0
466,7:00,2020-07-18 5:51,2020-07-18 6:15,2020-07-17 22:51,2020-07-17 23:15,2020-07-17,22:51:26,0:23:39, Killer Whale,SRKW,1,0,0
476,7:00,2020-07-18 13:23,2020-07-18 14:08,2020-07-18 6:23,2020-07-18 7:08,2020-07-18,6:23:21,0:45:35, Killer Whale,SRKW,1,0,0
602,7:00,2020-07-25 3:05,2020-07-25 4:25,2020-07-24 20:05,2020-07-24 21:25,2020-07-24,20:05:01,1:20:58, Killer Whale,SRKW,1,0,0
628,7:00,2020-07-26 4:57,2020-07-26 5:28,2020-07-25 21:57,2020-07-25 22:28,2020-07-25,21:57:14,0:31:33, Killer Whale,SRKW,1,0,0
740,7:00,2020-07-30 15:08,2020-07-30 15:08,2020-07-30 8:08,2020-07-30 8:08,2020-07-30,8:08:40,0:00:15, Killer Whale,SRKW,1,0,0
988,7:00,2020-08-10 2:58,2020-08-10 3:06,2020-08-09 19:58,2020-08-09 20:06,2020-08-09,19:58:53,0:07:15, Killer Whale,Unknown,0,0,0
1104,7:00,2020-08-15 6:52,2020-08-15 6:58,2020-08-14 23:52,2020-08-14 23:58,2020-08-14,23:52:07,0:06:11, Killer Whale,Transient,0,1,0
1290,7:00,2020-08-23 5:27,2020-08-23 5:27,2020-08-22 22:27,2020-08-22 22:27,2020-08-22,22:27:57,0:00:00, Killer Whale,Transient,0,1,0
1479,7:00,2020-08-31 5:17,2020-08-31 6:43,2020-08-30 22:17,2020-08-30 23:43,2020-08-30,22:17:26,1:25:54, Killer Whale,Transient,0,1,0
1518,7:00,2020-09-01 21:12,2020-09-01 23:59,2020-09-01 14:12,2020-09-01 16:59,2020-09-01,14:12:28,2:47:05, Killer Whale,SRKW,1,0,0
1519,7:00,2020-09-02 0:00,2020-09-02 2:22,2020-09-01 17:00,2020-09-01 19:22,2020-09-01,17:00:19,2:22:33, Killer Whale,,1,0,0
1560,7:00,2020-09-03 22:16,2020-09-03 22:42,2020-09-03 15:16,2020-09-03 15:42,2020-09-03,15:16:19,0:26:15, Killer Whale,SRKW,1,0,0
1594,7:00,2020-09-05 8:05,2020-09-05 8:05,2020-09-05 1:05,2020-09-05 1:05,2020-09-05,1:05:42,0:00:00, Killer Whale,Transient,0,1,0
1622,7:00,2020-09-06 1:55,2020-09-06 3:30,2020-09-05 18:55,2020-09-05 20:30,2020-09-05,18:55:57,1:34:40, Killer Whale,SRKW,1,0,0
1672,7:00,2020-09-08 9:36,2020-09-08 9:36,2020-09-08 2:36,2020-09-08 2:36,2020-09-08,2:36:10,0:00:00, Killer Whale,Transient,0,1,0
1695,7:00,2020-09-09 4:09,2020-09-09 4:10,2020-09-08 21:09,2020-09-08 21:10,2020-09-08,21:09:53,0:00:37, Killer Whale,Transient,0,1,0
1728,7:00,2020-09-10 15:50,2020-09-10 16:07,2020-09-10 8:50,2020-09-10 9:07,2020-09-10,8:50:39,0:16:53, Killer Whale,Transient,0,1,0
1762,7:00,2020-09-11 22:23,2020-09-11 23:08,2020-09-11 15:23,2020-09-11 16:08,2020-09-11,15:23:33,0:44:49, Killer Whale,SRKW,1,0,0
1780,7:00,2020-09-12 1:31,2020-09-12 1:31,2020-09-11 18:31,2020-09-11 18:31,2020-09-11,18:31:19,0:00:00, Killer Whale,SRKW,1,0,0
1779,7:00,2020-09-12 3:29,2020-09-12 4:40,2020-09-11 20:29,2020-09-11 21:40,2020-09-11,20:29:06,1:11:00, Killer Whale,SRKW,1,0,0
1813,7:00,2020-09-13 19:05,2020-09-13 20:50,2020-09-13 12:05,2020-09-13 13:50,2020-09-13,12:05:59,1:44:18, Killer Whale,SRKW,1,0,0
1944,7:00,2020-09-19 21:11,2020-09-19 21:41,2020-09-19 14:11,2020-09-19 14:41,2020-09-19,14:11:27,0:30:02, Killer Whale,SRKW,1,0,0
1950,7:00,2020-09-20 0:08,2020-09-20 0:08,2020-09-19 17:08,2020-09-19 17:08,2020-09-19,17:08:02,0:00:14, Killer Whale,SRKW,1,0,0
2060,7:00,2020-09-24 3:48,2020-09-24 4:16,2020-09-23 20:48,2020-09-23 21:16,2020-09-23,20:48:35,0:27:54, Killer Whale,Unknown,1,0,1
